PHONE,HOURS,SNAP,SIC,NAICS_EXT,SALES_VOL,HDBRCH,NUMBER_EMP,EMPSIZ,FRNCOD,SQFT,SOURCE,STORE_TYPE,POINT_X,POINT_Y,STORE_NAME,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,GLOBALID
(303) 691-1600,7AM-10PM,NO,,,0.0,,0.0,,,,DEH,CS,-104.92234594,39.68892091,US MART,352022.0,1501 S HOLLY ST,,DENVER,CO,80222,{DD2662D9-ECDB-440D-B5B7-BBC3781530AE}
(303) 458-0109,,,541105,44511003,494.0,,2.0,A,,A,ESRI,CS,-105.00290602,39.76566804,VARIETY SUPER MARKET,270248.0,3500 MARIPOSA ST,,DENVER,CO,80211,{29B1C7C1-5813-41C1-9E35-80DC126A9673}
(303) 761-4531,24 HOURS,YES,541103,44512001,2688.0,2,12.0,C,W,B,ESRI,CSG,-104.98771613,39.6599906,7-ELEVEN,0.0,3131 S BROADWAY,,ENGLEWOOD,CO,80113,{F76D4C08-0DEC-44A1-B55B-5B72627E995B}
(303) 320-7847,M-SU 8AM - 10PM,YES,,,,,,,,,DEH,SGS,-104.940966,39.766251,WALGREENS,,3555 COLORADO BLVD,,DENVER,CO,80207,{65884AAA-BD73-4A9E-B973-19D81435051A}
(303) 698-2285,24 HOURS,YES,541103,44512001,1792.0,2,8.0,B,W,B,ESRI,CSG,-104.98968273,39.71121677,7-ELEVEN,181285.0,85 W ALAMEDA AVE,,DENVER,CO,80223,{7456111E-646A-4E99-90FF-20EEBC43A188}
(303) 777-2151,24 HOURS,YES,541103,44512001,1568.0,2,7.0,B,W,B,ESRI,CSG,-104.98027701,39.71117585,7-ELEVEN,186860.0,607 E ALAMEDA AVE,,DENVER,CO,80209,{D5368F4A-AECB-48A0-916C-A3A8F9C1CC90}
(303) 935-9339,24 HOURS,YES,541103,44512001,1344.0,2,6.0,B,W,A,ESRI,CSG,-105.02502446,39.6734802,7-ELEVEN,117865.0,2396 S FEDERAL BLVD,,DENVER,CO,80219,{6928808E-BBD6-43C1-91B8-AF21853B6914}
(303) 985-4549,24 HOURS,YES,541103,44512001,2016.0,2,9.0,B,W,B,ESRI,CSG,-105.05312689,39.68257622,7-ELEVEN,,1850 S SHERIDAN BLVD,#A,DENVER,CO,80232,{3A60E145-EEE1-41E6-A146-E9FA2C105975}
(303) 733-5238,24 HOURS,YES,541103,44512001,1120.0,2,5.0,B,W,A,ESRI,CSG,-105.01416091,39.71121814,7-ELEVEN,78257.0,2299 W ALAMEDA AVE,,DENVER,CO,80223,{051AB008-44F8-45BF-BDD7-CC9ECC9DE7EB}
(303) 629-5611,24 HOURS,YES,541103,44512001,3136.0,2,14.0,C,W,B,ESRI,CSG,-105.02510508,39.73325046,7-ELEVEN,70496.0,1000 FEDERAL BLVD,,DENVER,CO,80204,{4605A764-E56D-4F32-8202-FD7410AAB2EF}
