HOOD,RADIUS
Regis,0.564189822
Berkeley,0.690988591
West Highland,0.564189822
Sloan Lake,0.690988591
West Colfax,0.535237461
Villa Park,0.535237461
Barnum West ,0.504626718
Barnum,0.504626718
Westwood,0.690988591
Mar Lee,0.690988591
Harvey Park,0.690988591
Harvey Park South,0.690988591
,
Chaffee Park,0.504626718
Sunnyside,0.690988591
Highland,0.618038984
Jefferson Park,0.437019557
Sun Valley,0.504626718
Valdere,0.618038984
Athmar Park,0.690988591
Ruby Hill,0.690988591
College View,0.535237461
South Platte,0.504626718
,
Globeville,0.846284733
Five Points,0.846284733
LoDo,0.437019557
Downtown,0.437019557
Alamo Placita,0.398942449
Auraria,0.504626718
Lincoln Park,0.6675584
Baker,0.690988591
Overland,0.6675584
,
North Capitol Hill,0.398942449
Capitol Hill,0.504626718
Speer,0.504626718
Wash Park West,0.535237461
Platt Park,0.472035071
Rosedale,0.398942449
,
Elyria Swansea,0.892062435
Cole,0.398942449
Whittier,0.398942449
City Park West,0.398942449
Cheesman Park,0.398942449
Country Club,0.437019557
Wash Park,0.6675584
University,0.64327537
,
Clayton,0.504626718
Skyland,0.504626718
City Park,0.504626718
Congress Park,0.535237461
Cherry Creek,0.504626718
Belcaro,0.564189822
Cory-Merrill,0.504626718
Observatory Park,0.535237461
Wellshire,0.535237461
,
Northeast Park Hill,0.892062435
North Park Hill,0.690988591
South Park Hill,0.690988591
Hale,0.6675584
Montclair,0.6675584
Hilltop,0.797884898
Washington Virginia Vale,0.797884898
Virginia Village,0.797884898
Goldsmith,0.564189822
University Hills,0.74635298
,
Stapleton,1.381977182
East Colfax,0.64327537
Lowry,0.797884898
Windsor,0.74635298
Indian Creek,0.564189822
Hampden,0.797884898
