ACCESSION_DATE,YEAR_INSTALLED,TITLE,ARTIST,MATERIAL,LOCATION,DETAILED_LOCATION,NOTES,POINT_X,POINT_Y,GLOBALID
1997.3.2,1997,3 Wild Spaces  two of three,Andrew Dufford,Etched Granite,Goldsmith Gulch 3 locations,On Pathway,,3167752.69678,1665535.099,{6E5F113C-7B70-4283-9A65-D137D8049AF0}
1997.3.3,1997,3 Wild Spaces  three of three,Andrew Dufford,Etched Granite,Goldsmith Gulch 3 locations,On Pathway,,3167791.01111,1666948.48219,{D6892946-D754-437E-8E0E-B434CD595EC3}
2006.28.1,2006,Forgotten Landscapes,Shannon Kelly,Video Installation,Colorado Convention Center Hotel Hyatt,Exterior facing 15th St,,3142496.62341,1696208.8973,{7620F266-DC93-4CD1-A9D9-A2368BB9B50A}
1913.1.1,1913,The Pied Piper of Hamelin,Dudley Carpenter,Oil Painting on Canvas,Decker Branch Library,,,3145483.08839,1676314.65712,{12893CFA-DACB-40E1-801E-75CDE80CFC27}
1913.2.1,1913,King Arthur Recovering the Magic Sword Excalibur,Dudley Carpenter,Oil Painting on Canvas,Decker Branch Library,,,3145471.80439,1676318.99729,{81CC7CEB-C9F2-40E7-97F7-B44173F2D2C1}
1913.3.1,1913,There is No Frigate Like a Book,Marie Woodson,Oil Painting on Canvas,Decker Branch Library,,,3145495.24128,1676314.65712,{2EF1DFC4-413E-4EA5-BD36-EA761F58E402}
1919.1.1,1919,Dennis Sullivan Gateway Agriculture and Mining,Leo Lentelli,Stone,East High School ,Esplanade and Colfax,,3152705.74999,1695169.25001,{EDB4D867-E27E-48A5-864F-3C511BBDCB66}
1920.1.1,1920,The Trapper,Allen True,Oil Painting on Canvas,Civic Center Park,Greek Theatre,,3143764.88545,1694154.02357,{9BD1B3E0-8AFE-49D0-83E3-620A9F0C270B}
1961.3.1,1961,The Bermese Nebula,Vance Kirkland ,"Oil,water, and gold on linen",Temple Buell Theatre Lobby,,On Loan from the Kirkland Museum.,3141183.21232,1696442.22851,{A7B0910A-AB77-4868-BA78-2EBA7FD5EE21}
1972.1.1,1972,Valedictorian,Abe Vigil,Painted Wood and Metal Sculpture,Governors Park,,,3145817.74747,1690362.03587,{26F83612-0A8E-43F0-9211-572956383FBB}
1975.5.1,1975,Metal Screen Sculpture,Vincent OBrien,"Metal, stained glass, machine parts.",Hampden Branch Library,,,3176109.81681,1663912.57859,{141F8146-FD12-45A8-9606-3F241DD65DE8}
1978.2.1,1978,La Alma Mural,Emanuel Martinez,Mural,La Alma Recreation Center,,,3139344.47174,1692606.64743,{7029E6C6-BDD8-4428-8565-7B9E4BC09EB1}
1980.4.1,1980,La Familia Cosmica,Jerry Jaramillo,Mural,La Familia Recreation Center,On Wall in Indoor Pool,,3142251.65101,1685889.12395,{312C0C28-1D4E-418F-B0BB-48EB018E516E}
2003.17.1,2003,The Yearling,Donald Lipski,Steel  Fiberglass,Denver Public Library,Childrens Lawn,,3143882.77761,1694032.00948,{132FE018-2318-40F9-997D-45A7F1BC6093}
1981.1.1,1981,At the Library,Barry Rose,Ceramic Tiles,Denver Public Library,Central Branch Exterior,,3143988.51703,1694108.81993,{37567026-754C-4673-A0E8-E4F2BA794C85}
1982.1.1,1982,Kenneth Mackenzie MacIntosh,Dane Romberger,Bronze,Wellington E Webb Municipal Building,MacIntosh Plaza,,3143641.37135,1695118.33458,{835329D7-DF0C-4EB5-8F6D-A9B46757530B}
1988.3.1,1988,"Brown Flowers, the Mestizo People",Carlota Espinoza,Mural,Denver Department of Social Services,,,3133816.85568,1693063.28303,{C0CE5756-228B-40FF-B3DC-D981768F3A20}
1988.4.1,1988-89,Keepsake Quilt,African-American Quilters and Colle,Fiber,Ford-Warren Branch Library, ,,3150078.40284,1700870.30953,{5C0703DC-A1C5-4E0F-83A5-A1BCCE8A8270}
1989.1.1,1989,Beatrix Potter Characters,Jo Ehr ,Painting,Athmar Branch Library, ,,3136897.21494,1679163.18899,{1B31E78B-9854-442A-8ABF-9910CAC709F7}
1993.1.2,1993,Beginning of a Century,Susan Cooper,Oil on Sculpted Wood,City and County Building,,,3143168.53502,1694579.6615,{D1F8DABE-2C68-4FD5-880B-C9C2FE6E0FFD}
2003.18.1,2003,World Family,Bob Luna & Martha Keating,Ceramic Murals,Family Crisis Center,Interior,,3133903.35152,1692387.67543,{DFE8C00A-B479-47E4-85B7-74BD1EEEA9AD}
2003.19.1,2003,Color Wind,George Peters and Melanie Walker,Powder coated Aluminum,Family Crisis Center,Exterior,,3133888.82864,1692386.46512,{754B0266-6154-4610-8B2F-5361E0E9AB6C}
2003.20.1,2003,Portal Achway,Stephen Morath,Painted Steel,Family Crisis Center,Exterior,,3133890.03894,1692408.25139,{C42D118F-0B2D-4698-95CA-5F19A5599705}
2003.20.1,2003,Portal Achway,Stephen Morath,Painted Steel,Family Crisis Center,Exterior,,3133888.82864,1692431.24805,{E1B5A235-0496-4D37-80DB-66DCCD53AE0B}
2003.22.1,2003,"Bird House, Light House and Tree House",Sandy Toland,Ceramic and plywood murals,Family Crisis Center,Lobby Area,,3133926.34817,1692433.66873,{E0F7904A-F6E7-4985-A39B-B2354A776884}
2003.25.1,2003,Portrait of William Scheitler,Steve Altman,Acrylic Painting,Scheitler Recreation Center,,,3126081.62549,1709795.18604,{FC3B3006-4B25-48F8-BB73-9BDDC7BD3AD6}
1994.21.1,1994,Art Cronicles,Alex Sweetman,Photography,Denver International Airport,,,3232019.86439,1736016.68206,{E8A1D315-5718-4C3F-A940-53681663289E}
1932.2.1,1932,Eagle ,Nicolosi,Bronze,City and County Building,On top of building,Painted in 1949 with 23 karat gold leaf.  Measures 6ft 6in.,3143105.99811,1694543.81334,{95E8271E-31FF-4601-BA00-4ABDCA1118DA}
2007.1.1,"2007
2007",Aerial,"John Davis
","Metal and Concrete
",Denver Skate Park ,Little Raven St and 20th St,,3139790.47391,1701942.7458,{9966F9BD-4DB9-40A6-880E-FE021E4BB980}
2007.2.1,2007,Life of the Mind,John McEnroe,Plastic,"Green Valley Ranch School
Green Valley Ranch School
",4100 Jericho St,,3206267.78034,1712126.64238,{93852FF2-15BF-4625-AF9D-C3841B8AB557}
2008.1.1,2008,Villa Park Gateway,Gary Sweeney,Steel and Stone,Villa Park,8th Ave and Grove St,,3133259.32797,1690917.91009,{3B2E1953-FE2F-4A5B-82A2-BE6AA7E75818}
2008.2.1,2008,Fault Shadows,Patrick Marold,Steel and Glass gate and Rail Element,Gates Tennis Center,3300 East Bayaud Ave,,3155181.16279,1685457.17846,{3BE2EB4D-4E8D-4362-B3EF-BCC6880B153C}
2008.5.1,2008,Westwood Renaissance,Daniel Salazar,Photo Installation,Westwood Community Center,980 S Lowell St,,3131478.1985,1680193.88872,{8E8E9AA5-3696-44E1-B11A-A81745E47D63}
2008.6.1,2008,"Untitled
",Conor Hollis,Powder Coated Steel,Aquagolf,501 W Florida Ave,,3142315.8651,1676596.93514,{330C0280-419B-46C1-83A3-B5E4F5E31B20}
2008.7.1,2008,National Velvet,John McEnroe,"Fiberglass, Resin, Sand and Steel",Highlands Bridge Overpass,,,3138210.49201,1701278.1658,{C2FE5019-7326-4353-9FAA-11DC28F61E41}
2008.8.1,2008,Tradition,Joseph Cipri,Bronze,"Stapleton Fire Station
","7934 Martin Luther King Blvd
",,3169861.70342,1702163.82002,{A36457C3-0E2C-4681-B103-1E7BD16AC2C5}
1953.1.1,1953,Old Courthouse Bell,Carol Candelaria Rothberg and or Fl,,14th and Larimer,West side of the Street,,3140542.62829,1697451.71984,{EAC0E31C-9262-4FC3-BEC5-C6B1DDC5409E}
2003.30.1,2003,Portrait of Hiwatha Davis , Robert Evans,Acrylic Painting,Hiawatha Davis Rec Center,,,3162514.81661,1703820.58992,{5B81F8AE-466C-4B50-BA2F-A8B8983480E1}
2003.31.1,2003,Davis Rec in Motion,Gary Emrich,Video Installation,Hiawatha Davis Rec Center,,,3162544.32991,1703806.7008,{72A87712-1C9D-48A9-9011-1F0246A7102F}
2006.26.1,2006,Antique Gold and Aquamarine Chandelier,Dale Chihuly,Glass,Ellie Caulkins Opera House,Atrium of Opera House,,3141353.17551,1696581.30832,{679BA9C2-EEE5-45B8-A7A9-325DD9F5E543}
2005.8.1,2005,Good Fortune is Here to Stay,Yuan Xiao Ceng,Bronze,Denver Zoo,,,3153810.68915,1698472.2607,{CA0462BD-261F-44E3-B102-696B1037B668}
1920.5.1,1920,Elk Group and Buffalo,Allen True,Oil Painting on Canvas,Civic Center Park,North Portico,,3143698.73309,1694948.97786,{21C557B8-68C2-4723-93F3-FEA550CBC48D}
1995.9.1,1995,Leap of Faith,Patty Ortiz,Painted Steel,Speer Boulevard Access Ramp at Wewatta,,,3139316.49345,1698525.46486,{B9245011-E973-4A90-8097-0754B0FB9C7A}
2001.2.1,2001,Common Ground,Barbara Grygutis,Stone,Commons Park,Little Raven St. and 15th St.,,3138888.51795,1700334.59083,{71361A00-48B3-40A9-8FD9-19EE0201BC69}
1997.2.1,1997,Big Wheel,Ed Carpenter,Steel and Concrete,Broadway Viaduct,,,3143843.08542,1703031.53553,{18356DF9-5D1C-4660-BE6D-F400F3A450ED}
1998.5.1,1998,"Earth, Air, Fire, and Water",Nancy Lovendahl,Stone,Rockmont Park Cuernavaca Park,,,3140288.69119,1702328.94961,{16EF335A-12E4-4D72-B947-948583BF6AE3}
