FEATURE,LOCATION,LOC_CODE,COURT_NUM,LIGHTS,SURFACE_TYPE,YEAR_BUILT,YEAR_RESURF,GLOBALID,ASSET_CLASS,CLASS_CATEGORY,GIS_ASSET_ID,INFOR_ASSET_ID
Basketball Court - Full,Sloan's Lake Park,019,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20287,111657
Basketball Court - Full,Southmoor Park,622,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20267,111604
Basketball Court - Full,Parkfield,516,,Yes,Concrete,2011,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20268,111605
Basketball Court - Full,Parkfield,516,,Yes,Concrete,2011,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20288,111658
Basketball Court - Full,Parkfield,516,,Yes,Concrete,2011,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20299,111677
Basketball Court - Full,Parkfield,516,,Yes,Concrete,2011,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20300,111678
Tennis Court,Parkfield,516,,Yes,,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20289,111659
Tennis Court,Parkfield,516,,Yes,,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20269,111606
Basketball Court - Full,Congress Park,314,,Yes,Asphalt,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20182,111853
Tennis Court,Congress Park,314,4,Yes,,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20230,111737
Tennis Court,Congress Park,314,3,Yes,,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20166,111687
Tennis Court,Sloans Lake Park - North,019,1,Yes,,,2010,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20092,111799
Tennis Court,Sloans Lake Park - South,019,1,No,,,2009,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20060,111783
Tennis Court,Sloans Lake Park - South,019,2,No,,,2009,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20147,111831
Tennis Court,Sloans Lake Park - South,019,3,No,,,2009,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20176,111846
Tennis Court,Sloans Lake Park - South,019,4,No,,,2009,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20177,111847
Tennis Court,Southwest Auto Park,180,2,No,,,2010,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20029,111767
Tennis Court,Southwest Auto Park,180,1,No,,,2010,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20122,111812
Tennis Court,Swansea Park,210,2,No,,,,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20242,111871
Tennis Court,Swansea Park,210,1,No,,,,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20093,111800
Tennis Court,Washington Park - South,711,6,Yes,Post Tension Concrete,2004,2008,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20209,111861
Tennis Court,Washington Park - South,711,7,Yes,Post Tension Concrete,2004,2008,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20149,111833
Tennis Court - Practice Wall,Washington Park - South,711,8,No,,,,{00000000-0000-0000-0000-000000000000},COURT,CT-TENPR,20243,111872
Tennis Court,City Park,201,11,Yes,Post Tension Concrete,2007,,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20150,111668
Tennis Court,City Park,201,14,Yes,Post Tension Concrete,2007,,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20094,111625
Tennis Court,Lowry Sports Complex,L21,1,Yes,Post Tension Concrete,2007,,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20180,111693
Tennis Court,Lowry Sports Complex,L21,2,Yes,Post Tension Concrete,2007,,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20151,111669
Tennis Court,Lowry Sports Complex,L21,3,Yes,Post Tension Concrete,2007,,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20031,111574
Tennis Court,Lowry Sports Complex,L21,4,Yes,Post Tension Concrete,2007,,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20245,111747
Tennis Court - Practice Wall,Washington Park - South,711,9,No,,,,{00000000-0000-0000-0000-000000000000},COURT,CT-TENPR,20061,111784
Tennis Court,42nd & Lisbon,522,1,No,Post Tension Concrete,2004,,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20095,111801
Tennis Court,42nd & Lisbon,522,2,No,Post Tension Concrete,2004,,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20062,111785
Handball Court,City Park,201,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HAND,20032,111769
Handball Court,City Park,201,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HAND,20210,111862
Handball Court,City Park,201,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HAND,20246,111874
Handball Court,City Park,201,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HAND,20126,111816
Bocce Ball Court,City of Potenza park,762,,,Crusher Fines,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BOCCE,20127,111817
Bocce Ball Court,City of Potenza park,762,,,Crusher Fines,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BOCCE,20033,111770
Horseshoe Pit,Bate & Hobart,142,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20034,111771
Tennis Court - Clear Space,Pulaski Park,319,,,,,,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court - Clear Space,Schafer (Martin J) Park,218,,,,,,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court - Clear Space,Martin Luther King Jr Park,415,,,,,,{00000000-0000-0000-0000-000000000000},,,,
Basketball Court - Full,Swansea Park,210,,,Concrete,2012,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20327,112643
Horseshoe Pit,Swansea Park,210,,,,2012,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20326,112642
Sand Volleyball Court,Swansea Park,210,,No,Sand,2012,,{00000000-0000-0000-0000-000000000000},COURT,CT-SV,20328,112644
Tennis Court - Clear Space,Greenway Park,556,,,,2003,2009,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court - Clear Space,Southwest Auto Park,180,,,,,,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court - Clear Space,Berkeley Lake Park,002,,,,,,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court - Clear Space,Eisenhower (Mamie Daud) Park,630,,,,,2009,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court - Clear Space,Huston Lake Park,811,,,,,2009,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court - Clear Space,City Park,201,,,,,2009,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court - Clear Space,City Park,201,,,,,2009,{00000000-0000-0000-0000-000000000000},,,,
Horseshoe Pit,City Park,201,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20279,111649
Horseshoe Pit,City Park,201,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20296,111674
Horseshoe Pit,City Park,201,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20321,111753
Horseshoe Pit,City Park,201,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20297,111675
Horseshoe Pit,City Park,201,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20261,111598
Horseshoe Pit,Huston Lake Park,811,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20280,111650
Horseshoe Pit,Huston Lake Park,811,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20254,111577
Horseshoe Pit,Huston Lake Park,811,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20262,111599
Bocce Ball Court,Central Park,561,,,Crusher Fines,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BOCCE,20305,111696
Bocce Ball Court,Central Park,561,,,Crusher Fines,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BOCCE,20306,111697
Bocce Ball Court,Central Park,561,,,Crusher Fines,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BOCCE,20281,111651
Sand Volleyball Court,Elyria,204,,,Sand,,,{00000000-0000-0000-0000-000000000000},COURT,CT-SV,20282,111652
Sand Volleyball Court,Thomas,L16,,,Sand,,,{00000000-0000-0000-0000-000000000000},COURT,CT-SV,20322,111754
Basketball Court - Full,51st and Zuni Park,009,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20064,111789
Basketball Court - Full,Alamo Placita Park,301,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20181,111852
Basketball Court - Full,Argo Park,212,,No,Concrete,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20097,111803
Basketball Court - Full,Asbury and Tejon Park,830,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20098,111804
Basketball Court - Full,Barnum Park,804,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20129,111821
Basketball Court - Full,Berkeley Lake Park,002,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20211,111864
Basketball Court - Full,Bezoff (Ben) Park,624,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20212,111865
Basketball Court - Half,Bryant Street Park,815,,No,Asphalt,,2010,{00000000-0000-0000-0000-000000000000},COURT,CT-BBH,20213,111866
Basketball Court - Full,Chaffee (Jerome B) Park,003,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20065,111790
Basketball Court - Full,City of Axum Park,417,,No,Concrete,2010,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20214,111867
Basketball Court - Half,Cook (Judge Joseph E) Park,763,,No,Concrete,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBH,20215,111868
Basketball Court - Full,DeBoer (S R) Park,805,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20066,111791
Basketball Court - Full,Denison Park,458,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20000,111756
Basketball Court - Half,Eastmoor Park,606,,No,Concrete,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBH,20099,111805
Basketball Court - Full,Elmendorf Park,536,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20001,111757
Basketball Court - Full,Elyria (Johnson Center) Park,204,,No,Concrete,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20067,111792
Basketball Court - Full,Falcon Park,537,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20183,111854
Basketball Court - Half,Flores (Hector M) Park,322,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBH,20036,111775
Tennis Court - Clear Space,42nd & Lisbon,522,,,,,,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court - Clear Space,Garland (David T) Park,728,,,,,,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court - Clear Space,Bear Valley Park,140,,,,,,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court - Clear Space,Berkeley Lake Park,002,,,,,2009,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court - Clear Space,Pulaski Park,319,,,,,,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court - Clear Space,Lowry Sports Complex,L21,,,,2007,,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court - Clear Space,Sloans Lake Park - South,019,,,,,2009,{00000000-0000-0000-0000-000000000000},,,,
Basketball Court - Full,Thomas,L16,,No,Concrete,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20037,111776
Basketball Court - Full,Fuller Park,205,,No,Concrete,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20002,111758
Basketball Court - Full,Garfield Lake Park,807,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20068,111793
Basketball Court - Full,Garland (David T) Park,728,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20100,111806
Basketball Court - Full,Garrison and Union Park,158,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20152,111836
Basketball Court - Half,Golden Key Park,607,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBH,20003,111759
Basketball Court - Full,Green Valley West Ranch Park,549,,No,Asphalt,,2009,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20130,111822
Basketball Court - Full,Hampden Heights Park,614,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20184,111855
Basketball Court - Full,Harvard Gulch Park,829,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20131,111823
Basketball Court - Full,Highland Gateway Park,046,,No,Asphalt,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20132,111824
Basketball Court - Full,Huston Lake Park,811,,No,Concrete,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20153,111837
Basketball Court - Full,Irving and Java Park,841,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20154,111838
Basketball Court - Full,Jefferson Park,016,,No,Asphalt,,,{00000000-0000-0000-0000-000000000000},COURT,CT-BBF,20004,111760
Tennis Court,Congress Park,314,2,Yes,,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20080,111618
Tennis Court,Congress Park,314,1,Yes,,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20193,111710
Tennis Court,Congress Park,314,6,No,,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20111,111639
Tennis Court,Congress Park,314,8,No,,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20049,111591
Tennis Court,Congress Park,314,7,No,,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20194,111711
Tennis Court - Clear Space,Congress Park,314,,,,,2011,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court - Clear Space,Congress Park,314,,,,,2011,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court - Clear Space,Congress Park,314,,,,,2011,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court,Godsman Park,808,1,No,,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20021,111570
Tennis Court,Godsman Park,808,2,No,,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20236,111743
Tennis Court - Clear Space,Godsman Park,808,,,,,2011,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court,Rocky Mountain Lake Park,007,1,No,,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20026,111764
Tennis Court,Rocky Mountain Lake Park,007,2,No,,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20027,111765
Tennis Court - Clear Space,Rocky Mountain Lake Park,007,,,,,2011,{00000000-0000-0000-0000-000000000000},,,,
Tennis Court,Rosamond Park,621,2,Yes,,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20028,111766
Tennis Court,Rosamond Park,621,1,Yes,,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20145,111829
Tennis Court,Rosamond Park,621,3,Yes,,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20090,111797
Tennis Court,Rosamond Park,621,4,Yes,,,2011,{00000000-0000-0000-0000-000000000000},COURT,CT-TEN,20091,111798
Tennis Court - Clear Space,Rosamond Park,621,,,,,2011,{00000000-0000-0000-0000-000000000000},,,,
Horseshoe Pit,Bate & Hobart,142,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20035,111772
Horseshoe Pit,Denison Park,458,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20247,111875
Horseshoe Pit,Eisenhower Park,630,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20248,111876
Horseshoe Pit,Harvey Park,130,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20128,111818
Horseshoe Pit,Harvey Park,130,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20096,111802
Horseshoe Pit,Highland Senior Center,034,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20063,111786
Horseshoe Pit,Highland Senior Center,034,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20249,111877
Horseshoe Pit,Lindsley (Henry S) Park,401,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20290,111834
Horseshoe Pit,Montclair Park,408,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20311,111863
Horseshoe Pit,Montclair Park,408,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20314,111878
Horseshoe Pit,Pinecrest Village Park,161,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20250,111773
Horseshoe Pit,Pinecrest Village Park,161,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20301,111850
Horseshoe Pit,Rocky Mountain Lake Park,007,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20302,111851
Horseshoe Pit,Rocky Mountain Lake Park,007,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20315,111879
Horseshoe Pit,Rocky Mountain Lake Park,007,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20251,111774
Horseshoe Pit,Rocky Mountain Lake Park,007,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20275,111819
Horseshoe Pit,Rocky Mountain Lake Park,007,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20259,111787
Horseshoe Pit,Rocky Mountain Lake Park,007,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20291,111835
Horseshoe Pit,Rocky Mountain Lake Park,007,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20276,111820
Horseshoe Pit,Rocky Mountain Lake Park,007,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20260,111788
Horseshoe Pit,Rocky Mountain Lake Park,007,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20277,111647
Horseshoe Pit,Rocky Mountain Lake Park,007,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20312,111721
Horseshoe Pit,Rocky Mountain Lake Park,007,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20303,111694
Horseshoe Pit,Rocky Mountain Lake Park,007,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20313,111722
Horseshoe Pit,Russell Square Park,206,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20252,111575
Horseshoe Pit,Russell Square Park,206,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20292,111670
Horseshoe Pit,Athmar Park,802,,,Natural Surface,,,{00000000-0000-0000-0000-000000000000},COURT,CT-HORSE,20253,111576
