REC_NAME,LOC_CODE,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,PHONE,REC_TYPE,MARKETING_CODE,MARKETED_FACILITIES,MARKETED_PROGRAMS,PROGRAMS_LINK,POOL_HOURS_LINK,NEWS_LINK,HOURS,PHOTO,YEAR_BUILT,YEAR_REMODEL,BLDG_SQFT,LABEL,LATITUDE,LONGITUDE,FACILITIES_OLD,GLOBALID
Aztlan Recreation Center,RA3,,4435 Navajo St,,Denver,CO,,303-458-4899,R,RF,"Gym (Small), Lockers, Pool (Outdoor), Showers, Weight Room, Meeting Room","Aquatics, Arts & Culture, Education, Fitness & Health, Seniors, Social Enrichment Clubs & Activities, Special Events, Sports",documents/northwest.pdf,,"www.denvergov.org/dpr/ParksandRecreation/RecreationCentersPools/RecreationCenters/AztlanRecreationCenter/tabid/444215/Default.aspx
",documents/Recreation/Neighborhood_Hours.pdf,images/RecCtrs/aztlanrc.jpg,1975,Unknown,10188.0,Aztlan,39.77751465,-105.00450919,"Outdoor Pool,Gym (Reg. Size),Weight Room,Aerobics,Arts & Crafts,Pottery/Kiln,Game Room,Billiards,Kitchen",{8A7F8B3C-3F5B-4A6C-9A92-1B3D130DA95B}
Hiawatha Davis Jr Recreation Center,RS1,,3334 Holly St,,Denver,CO,,720-865-0590,R,RF,"Gym (Large), Indoor Track, Lockers, Meeting Room, Pool (Indoor), Showers, Water Feature, Weight Room","Aquatics, Arts & Culture, Education, Fitness & Health, Social Enrichment Clubs & Activities, Special Events, Sports",documents/northeast.pdf,,"www.denvergov.org/dpr/ParksandRecreation/RecreationCentersPools/RecreationCenters/HiawathaDavisRecCenter/tabid/444224/Default.aspx
",documents/Recreation/Local_Hours.pdf,images/RecCtrs/davisrc.jpg,1960,2001,41502.0,Hiawatha Davis Jr,39.7642927,-104.92181413,"Indoor Pool,Indoor Kiddie Pool,Outdoor Kiddie Pool,Gym (Reg. Size),Weight Room,Cardio Eqpmt,Aerobics,Arts & Crafts,Pottery/Kiln,Game Room,Tennis Court,Billiards,Meeting space,Kitchen",{A7FBBB26-5445-4637-A45C-9AE607819D63}
Montbello Recreation Center,RM3,,15555 E 53rd Ave,,Denver,CO,,720-865-0580,R,RF,"Dance Space, Gym (Large), Lockers, Meeting Room, Pool (Indoor), Showers, Water Feature, Weight Room","Aquatics, Arts & Culture, Fitness & Health, Seniors, Social Enrichment Clubs & Activities, Special Events, Sports",documents/northeast.pdf,,"www.denvergov.org/dpr/ParksandRecreation/RecreationCentersPools/RecreationCenters/MontbelloRecreationCenter/tabid/444229/Default.aspx
",documents/Recreation/Regional_Hours.pdf,images/RecCtrs/montbellorc.jpg,2003,None,44394.0,Montbello,39.79273788,-104.8055979,"Senior Center,Indoor Pool,Gym (Reg. Size),Weight Room,Cardio Eqpmt,Aerobics,Arts & Crafts,Pottery/Kiln,Game Room,Billiards,Dance,Meeting space,Kitchen",{8123A34D-E71F-42EA-825B-05905756EF35}
Green Valley Ranch Recreation Center,RG3,,4890 Argonne Way,,Denver,CO,,303-375-3857,R,RF,"Gym (Large), Lockers, Meeting Room, Showers, Weight Room","Day Activity or Sports Camps, Fitness & Health, Social Enrichment Clubs & Activities, Special Events, Sports",documents/northeast.pdf,,"www.denvergov.org/dpr/ParksandRecreation/RecreationCentersPools/RecreationCenters/GreenValleyRanchRecCenter/tabid/444221/Default.aspx
",documents/Recreation/Local_Hours.pdf,images/RecCtrs/gvrrc.jpg,2004,None,34520.0,Green Valley Ranch,39.78568835,-104.76716032,"Gym (Reg. Size),Weight Room,Cardio Eqpmt,Aerobics,Arts & Crafts,Game Room,Billiards,Meeting space,Kitchen",{6435E4AD-231E-4C73-AC5B-A9FDA6C5CAE4}
Highland Recreation Center,SH1,,2880 Osceloa St,,Denver,CO,,303-458-4868,R,RF,"Dance Space, Meeting Room, Weight Room","Arts & Culture, Education, Fitness & Health, Seniors, Social Enrichment Clubs & Activities, Special Events",documents/northwest.pdf,,"www.denvergov.org/dpr/ParksandRecreation/RecreationCentersPools/RecreationCenters/HighlandRecreationCenter/tabid/444225/Default.aspx
",documents/Recreation/Neighborhood_Hours.pdf,images/RecCtrs/highlandrc.jpg,1978,Unknown,10196.0,Highland,39.75819815,-105.03771405,"Senior Center,,Cardio Eqpmt,Aerobics,Arts & Crafts,Pottery/Kiln,Billiards,Dance,Meeting space,Kitchen",{A17468A9-5F18-4F90-8E87-27EA38632644}
Ashland Recreation Center,RA1,,2475 W Dunkeld Pl,,Denver,CO,,720-865-0510,R,RF,"Gym (Small), Lockers, Pool (Indoor), Showers, Water Feature, Weight Room, Meeting Room","Aquatics, Arts & Culture, Fitness & Health, Seniors, Sports",documents/northwest.pdf,,www.denvergov.org/dpr/ParksandRecreation/RecreationCentersPools/RecreationCenters/AshlandRecreationCenter/tabid/444208/Default.aspx,documents/Recreation/Local_Hours.pdf,images/RecCtrs/ashlandrc.jpg,1972,1981,10354.0,Ashland,39.75985705,-105.01772365,"Indoor Pool,Indoor Kiddie Pool,Gym (Non Reg. Size),Weight Room,Cardio Eqpmt,Aerobics,Arts & Crafts,Pottery/Kiln,Game Room,Billiards",{B155B82C-224D-4633-8390-7116EEACE832}
Stapleton Recreation Center,RS2,,5090 Broadway,,Denver,CO,,303-295-4482,R,RF,"Gym (Large), Meeting Room, Showers, Weight Room","Arts & Culture, Education, Fitness & Health, Seniors, Social Enrichment Clubs & Activities, Special Events, Sports",documents/northwest.pdf,,"www.denvergov.org/DPR/dpr/ParksandRecreation/RecreationCentersPools/RecreationCenters/StapletonRecreationCenter/tabid/444249/Default.aspx
",documents/Recreation/Neighborhood_Hours.pdf,images/RecCtrs/stapletonrc.jpg,Unknown,"1982, 1993",12524.0,Stapleton,39.78887183,-104.98721497,"Gym (Reg. Size),Weight Room,Cardio Eqpmt,Arts & Crafts,Pottery/Kiln,Game Room,Billiards,Meeting space,Kitchen",{CCAF49C8-CEC7-42F6-A942-7F67693EBCEF}
Globeville Recreation Center,RG2,,4496 Grant St,,Denver,CO,,303-294-1800,R,RF,"Gym (Small), Showers, Meeting Room","Arts & Culture, Education, Fitness & Health, Social Enrichment Clubs & Activities, Special Events, Sports",documents/partner.pdf,,,,images/RecCtrs/globevillerc.jpg,1930,Unknown,9560.0,Globeville,39.77807254,-104.98322996,"Gym (Non Reg. Size),Arts & Crafts,Billiards,Kitchen",{11BF2EFA-6FFD-4544-857E-F9A329BD4B49}
Outdoor Aquatics Office,RA5,,4601 W 46 St,,Denver,CO,,720-865-0661,O,RPO,,,,,,,images/RecCtrs/no_imagerec.gif,,,,Outdoor Aquatics Office,39.78130457,-105.047818,,{EDAA60A4-CB3D-4B5B-A7A4-1795E16C65BC}
Community Recreation Office,RCR,,1849 Emerson St,,Denver,CO,,720-865-0840,O,RPO,,,,,,,images/RecCtrs/no_imagerec.gif,,,,Community Recreation Office,39.74566141,-104.97652145,,{6390EB74-F2B0-4D6A-A9B4-71F5EC4D4CE5}
